,country,food_category,consumption,co2_emmission,Continent
234,France,Fish,22.91,36.58,Europe
235,France,Grains,56.655,13.46,Europe
236,France,Milk and Wheat Products,241.31,343.72,Europe
237,France,Poultry,18.03,18.345000000000002,Europe
238,France,Protein Foods,2.7199999999999998,4.779999999999999,Europe
239,France,Red Meat,20.046666666666663,322.1933333333333,Europe
240,French Polynesia,Fish,38.95,62.190000000000005,Oceania
241,French Polynesia,Grains,52.129999999999995,29.32,Oceania
242,French Polynesia,Milk and Wheat Products,93.56,133.26999999999998,Oceania
243,French Polynesia,Poultry,29.15,30.634999999999998,Oceania
244,French Polynesia,Protein Foods,1.555,2.2449999999999997,Oceania
245,French Polynesia,Red Meat,16.16,368.27666666666664,Oceania
246,Gambia,Fish,23.130000000000003,36.93,Africa
247,Gambia,Grains,49.875,43.185,Africa
248,Gambia,Milk and Wheat Products,45.71,65.11,Africa
249,Gambia,Poultry,1.8250000000000002,1.885,Africa
250,Gambia,Protein Foods,2.6350000000000002,4.665,Africa
251,Gambia,Red Meat,1.0166666666666668,30.716666666666665,Africa
252,Georgia,Fish,10.42,16.64,Asia
253,Georgia,Grains,83.035,17.275000000000002,Asia
254,Georgia,Milk and Wheat Products,149.26,212.61,Asia
255,Georgia,Poultry,9.2,9.405,Asia
256,Georgia,Protein Foods,1.235,2.185,Asia
257,Georgia,Red Meat,5.2,80.01666666666667,Asia
258,Germany,Fish,11.16,17.82,Europe
259,Germany,Grains,43.37500000000001,10.09,Europe
260,Germany,Milk and Wheat Products,258.7,368.49,Europe
261,Germany,Poultry,14.975,15.14,Europe
262,Germany,Protein Foods,4.42,7.245,Europe
263,Germany,Red Meat,21.900000000000002,205.01,Europe
264,Ghana,Fish,26.05,41.59,Africa
265,Ghana,Grains,23.240000000000002,21.875,Africa
266,Ghana,Milk and Wheat Products,9.08,12.93,Africa
267,Ghana,Poultry,4.92,5.1899999999999995,Africa
268,Ghana,Protein Foods,2.7849999999999997,4.92,Africa
269,Ghana,Red Meat,1.3966666666666667,33.126666666666665,Africa
270,Greece,Fish,14.42,23.02,Europe
271,Greece,Grains,65.34,16.075,Europe
272,Greece,Milk and Wheat Products,255.26,363.59,Europe
273,Greece,Poultry,12.934999999999999,13.11,Europe
274,Greece,Protein Foods,5.26,9.3,Europe
275,Greece,Red Meat,18.96,344.57,Europe
276,Grenada,Fish,27.95,44.63,North America
277,Grenada,Grains,34.575,11.795,North America
278,Grenada,Milk and Wheat Products,86.88,123.75,North America
279,Grenada,Poultry,26.924999999999997,28.12,North America
280,Grenada,Protein Foods,0.095,0.16,North America
281,Grenada,Red Meat,5.41,63.77333333333333,North America
282,Guatemala,Fish,1.08,1.72,North America
283,Guatemala,Grains,20.779999999999998,7.045,North America
284,Guatemala,Milk and Wheat Products,46.6,66.38,North America
285,Guatemala,Poultry,15.53,15.545000000000002,North America
286,Guatemala,Protein Foods,1.16,1.84,North America
287,Guatemala,Red Meat,3.56,66.00666666666667,North America
288,Guinea,Fish,9.18,14.66,Africa
289,Guinea,Grains,57.835,63.910000000000004,Africa
290,Guinea,Milk and Wheat Products,20.62,29.37,Africa
291,Guinea,Poultry,1.8900000000000001,1.88,Africa
292,Guinea,Protein Foods,2.07,3.665,Africa
293,Guinea,Red Meat,2.6733333333333333,83.25666666666666,Africa
294,Honduras,Fish,2.7,4.31,North America
295,Honduras,Grains,25.89,12.785,North America
296,Honduras,Milk and Wheat Products,91.33,130.09,North America
297,Honduras,Poultry,12.74,13.285,North America
298,Honduras,Protein Foods,0.38,0.665,North America
299,Honduras,Red Meat,4.57,82.07000000000001,North America
300,Hong Kong,Fish,42.44,67.76,Asia
301,Hong Kong,Grains,48.31,32.885,Asia
302,Hong Kong,Milk and Wheat Products,105.85,150.76999999999998,Asia
303,Hong Kong,Poultry,34.68,36.125,Asia
304,Hong Kong,Protein Foods,8.3,12.850000000000001,Asia
305,Hong Kong,Red Meat,31.71666666666667,370.6766666666667,Asia
306,Hungary,Fish,4.930000000000001,7.87,Europe
307,Hungary,Grains,56.065000000000005,11.86,Europe
308,Hungary,Milk and Wheat Products,159.05,226.55,Europe
309,Hungary,Poultry,18.115000000000002,18.49,Europe
310,Hungary,Protein Foods,0.325,0.565,Europe
311,Hungary,Red Meat,13.333333333333334,93.51333333333334,Europe
312,Iceland,Fish,74.41000000000001,118.81,Europe
313,Iceland,Grains,38.405,9.445,Europe
314,Iceland,Milk and Wheat Products,225.82,321.66,Europe
315,Iceland,Poultry,17.555,18.215,Europe
316,Iceland,Protein Foods,1.9949999999999999,3.46,Europe
317,Iceland,Red Meat,18.723333333333333,409.55,Europe
318,India,Fish,4.71,7.52,Asia
319,India,Grains,65.025,50.24,Asia
320,India,Milk and Wheat Products,84.5,120.36,Asia
321,India,Poultry,2.23,2.1950000000000003,Asia
322,India,Protein Foods,1.155,1.79,Asia
